Well,count,mean,std,min,25%,50%,75%,max,95% CI lower,95% CI upper,IQR,Treatment
B02,1547.0,0.4595825187311122,0.14240352630141725,0.028763320681244247,0.418594627181911,0.5135416598821535,0.5449450407787656,0.9460194227368817,0.45248622377993736,0.4666788136822871,0.12635041359685462,Neutral Control
B03,550.0,0.5664044629482536,0.1207406845023673,0.018596116609704984,0.5381622569914932,0.5631759599486322,0.6076618500832351,0.958122689447339,0.5563135987800184,0.5764953271164889,0.06949959309174192,Stimulator Control
B04,1103.0,0.48596341640850826,0.1167865331349955,0.0281308994525986,0.46659567567797366,0.5236166427178304,0.5469196759616467,0.9146663673455684,0.479071165464876,0.49285566735214054,0.08032400028367304,Treated
B06,1445.0,0.44795091585435715,0.13383401049572816,0.039762213171535186,0.39455663092835713,0.5031672731822544,0.534618894307459,0.7836636487804262,0.4410502874716167,0.4548515442370976,0.14006226337910188,Treated
B08,1478.0,0.4663970310439022,0.13022498959367332,0.03543357045448209,0.4308181222849037,0.5195269154191724,0.5426632217475857,0.8826767253725746,0.4597578702687964,0.47303619181900797,0.11184509946268206,Treated
B10,1448.0,0.46222973109494675,0.12932683757070385,0.021572491217025144,0.422375330566543,0.5096730282518138,0.539607392654853,0.9393853013615865,0.4555684087742568,0.4688910534156367,0.11723206208831005,Treated
B12,1306.0,0.4639350633611377,0.13272918276194118,0.03315158314131666,0.41271756674549775,0.5183555661610284,0.546366018391036,0.8250552316198455,0.45673641593569714,0.4711337107865783,0.1336484516455383,Treated
B14,676.0,0.4388105683327286,0.1597679386313019,0.027973002097167125,0.3479144609418514,0.5078850630452015,0.5432943914777837,0.8898346363511429,0.42676652372821505,0.4508546129372421,0.19537993053593228,Treated
B16,1240.0,0.47172040242364416,0.12326645912635842,0.030330631004917168,0.4345028819237857,0.520960638074587,0.5448558057438095,0.7371216880289362,0.4648593592894425,0.4785814455578458,0.11035292382002382,Treated
B18,755.0,0.4635023348710145,0.15346548524796913,0.014701892152106658,0.40516074567519744,0.517634089885048,0.5471304790006988,0.9043708877327019,0.4525553803837836,0.4744492893582454,0.14196973332550133,Treated
